claim_id,source_entity,relationship,basis_note
CL-0027,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0028,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0029,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0030,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0031,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0032,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0033,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0034,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0035,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0036,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0037,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0038,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0039,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0040,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0041,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0042,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0043,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0044,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0045,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0046,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0047,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0048,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0049,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0050,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0051,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0052,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0053,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0054,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0055,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0056,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0057,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0058,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0059,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0060,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0061,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 61 / Security
CL-0062,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0063,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0064,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0065,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0066,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0067,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0068,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0069,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0070,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0071,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0072,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0073,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0074,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0075,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 92 / Bugs, Known Issues, And Possible Workarounds"
CL-0076,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 92 / Bugs, Known Issues, And Possible Workarounds"
CL-0077,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 92 / Bugs, Known Issues, And Possible Workarounds"
CL-0078,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 92 / Bugs, Known Issues, And Possible Workarounds"
CL-0079,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 92 / Bugs, Known Issues, And Possible Workarounds"
CL-0080,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 92 / Bugs, Known Issues, And Possible Workarounds"
CL-0081,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0082,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0083,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0084,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0085,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0086,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0087,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0088,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0089,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0090,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0091,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0092,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0093,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0094,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0095,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0096,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0097,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0098,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0099,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0100,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0101,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0102,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0103,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0104,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0105,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0106,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0107,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0108,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0109,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0110,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0111,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0112,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0113,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0114,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0115,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 100 / Appendix D: Detailed Overlap Of Economy Pairs
CL-0116,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 25 / How To Architect A System? Construction Points, And A Tool You Will Love"
CL-0117,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 25 / How To Architect A System? Construction Points, And A Tool You Will Love"
CL-0118,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 25 / How To Architect A System? Construction Points, And A Tool You Will Love"
CL-0119,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 25 / How To Architect A System? Construction Points, And A Tool You Will Love"
CL-0120,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 25 / How To Architect A System? Construction Points, And A Tool You Will Love"
CL-0121,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0122,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0123,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0124,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0125,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0126,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0127,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 27 / Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports
CL-0128,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 29 / How To Effectively Plan For System Construction
CL-0129,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 29 / How To Effectively Plan For System Construction
CL-0130,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 29 / How To Effectively Plan For System Construction
CL-0131,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 29 / How To Effectively Plan For System Construction
CL-0132,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 33 / The Value Of Space Versus Ground Slots
CL-0133,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 33 / The Value Of Space Versus Ground Slots
CL-0134,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 33 / The Value Of Space Versus Ground Slots
CL-0135,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 33 / The Value Of Space Versus Ground Slots
CL-0136,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 36 / Station Interiors
CL-0137,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 36 / Station Interiors
CL-0138,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 36 / Station Interiors
CL-0139,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0140,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0141,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0142,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0143,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0144,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 47 / How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers
CL-0145,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 52 / What Are Strong & Weak Links? How Are They Modified By Link Modifiers?
CL-0146,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 52 / What Are Strong & Weak Links? How Are They Modified By Link Modifiers?
CL-0147,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 52 / What Are Strong & Weak Links? How Are They Modified By Link Modifiers?
CL-0148,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 52 / What Are Strong & Weak Links? How Are They Modified By Link Modifiers?
CL-0149,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0150,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0151,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0152,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 54 / Strong Links
CL-0153,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 57 / Weak Links
CL-0154,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 58 / Special Case: Port-to-Port Strong Links
CL-0155,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 58 / Special Case: Port-to-Port Strong Links
CL-0156,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 58 / Special Case: Port-to-Port Strong Links
CL-0157,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 58 / Special Case: Port-to-Port Strong Links
CL-0158,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 59 / Special Case: When Ports Convert To Being Supporting Facilities
CL-0159,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 59 / Special Case: When Ports Convert To Being Supporting Facilities
CL-0160,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 61 / Security
CL-0161,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 61 / Security
CL-0162,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 62 / Wealth
CL-0163,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 62 / Standard of Living
CL-0164,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 62 / Technology Level
CL-0165,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 62 / Technology Level
CL-0166,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 62 / Technology Level
CL-0167,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 62 / Development Level
CL-0168,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 63 / Happiness
CL-0169,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 68 / Which Economies Are Compatible With Each Other?
CL-0170,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 68 / Which Economies Are Compatible With Each Other?
CL-0171,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 68 / Which Economies Are Compatible With Each Other?
CL-0172,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 68 / Which Economies Are Compatible With Each Other?
CL-0173,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0174,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0175,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0176,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0177,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0178,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0179,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0180,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0181,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0182,MG-0001,extracted_from,"MG-0001 Elite Dangerous Colonization Mega Guide / 75 / What Does Population Affect, And How Do I Grow It?"
CL-0183,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 80 / System Score And Credits Per Week
CL-0184,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 80 / System Score And Credits Per Week
CL-0185,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 95 / Appendix A: Advanced Strategies
CL-0186,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 95 / Appendix A: Advanced Strategies
CL-0187,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 95 / Appendix A: Advanced Strategies
CL-0188,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 95 / Appendix A: Advanced Strategies
CL-0189,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 95 / Appendix A: Advanced Strategies
CL-0190,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 87 / Case Study #2: Building An “Ideal” Agriculture System
CL-0191,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 87 / Case Study #2: Building An “Ideal” Agriculture System
CL-0192,MG-0001,extracted_from,MG-0001 Elite Dangerous Colonization Mega Guide / 84 / Case Study #1: Building An “Ideal” Refinery System
