claim_id,claim_type,status,confidence,title,claim_text,primary_basis,linked_mechanics,linked_contradictions,linked_unknowns,source_document,page_or_sheet,section_heading,category,evidence_type,planner_implication,needs_live_verification
CL-0011,experimental_prediction,Pending,Medium,A4 High Tech promotion is expected to broaden total material coverage,The current A4 experiment predicts that raising High Tech to second place may improve whole-colony construction-material coverage,OBS-0012; OBS-0013; EXP-0001,CS-0001; M-0007; M-0008,,U-0001; U-0002,Legacy Wregoe evidence corpus,Repository evidence,Legacy evidence layer,experimental_prediction,legacy_repository_evidence,"Treat this as a pending hypothesis, not a confirmed rule.",yes
CL-0012,source_governance_claim,Confirmed,High,Canonical reference-source derivatives are now locally committed,"The repository now contains committed text or CSV derivatives for the Mega Guide, the strong-and-weak-links reference, the DaftMav workbook, and the dependency-flowchart bundle under reference_sources/, so direct extraction can cite those local canonical derivatives even where the original binary is not committed.",docs/source_coverage_register.md; EV-0004,R-0009,,,Canonical repository governance,Repository evidence,Legacy evidence layer,source_governance,repository_governance_note,Use committed reference-source derivatives as the canonical extraction base.,no
CL-0013,source_extracted_rule,Extracted,High,"T2 (Coriolis, Asteroid Base) 1st T2/T3 Port construction point cost","T2 (Coriolis, Asteroid Base) costs 3 / T2 Points for the 1st t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T2 ports.,no
CL-0014,source_extracted_rule,Extracted,High,"T2 (Coriolis, Asteroid Base) 2nd T2/T3 Port construction point cost","T2 (Coriolis, Asteroid Base) costs 3 / T2 Points for the 2nd t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T2 ports.,no
CL-0015,source_extracted_rule,Extracted,High,"T2 (Coriolis, Asteroid Base) 3rd T2/T3 Port construction point cost","T2 (Coriolis, Asteroid Base) costs 5 / T2 Points for the 3rd t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T2 ports.,no
CL-0016,source_extracted_rule,Extracted,High,"T2 (Coriolis, Asteroid Base) 4th T2/T3 Port construction point cost","T2 (Coriolis, Asteroid Base) costs 7 / T2 Points for the 4th t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T2 ports.,no
CL-0017,source_extracted_rule,Extracted,High,"T2 (Coriolis, Asteroid Base) 5th T2/T3 Port construction point cost","T2 (Coriolis, Asteroid Base) costs 9 T2 / Points for the 5th t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T2 ports.,no
CL-0018,source_extracted_rule,Extracted,High,"T2 (Coriolis, Asteroid Base) Nth T2/T3 Port construction point cost","T2 (Coriolis, Asteroid Base) costs 3+(n-2)*2 / T2 Points for the nth t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T2 ports.,no
CL-0019,source_extracted_rule,Extracted,High,"T3 (Orbis, Ocellus, T3 Plan. Port) 1st T2/T3 Port construction point cost","T3 (Orbis, Ocellus, T3 Plan. Port) costs 6 / T3 Points for the 1st t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T3 ports.,no
CL-0020,source_extracted_rule,Extracted,High,"T3 (Orbis, Ocellus, T3 Plan. Port) 2nd T2/T3 Port construction point cost","T3 (Orbis, Ocellus, T3 Plan. Port) costs 6 / T3 Points for the 2nd t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T3 ports.,no
CL-0021,source_extracted_rule,Extracted,High,"T3 (Orbis, Ocellus, T3 Plan. Port) 3rd T2/T3 Port construction point cost","T3 (Orbis, Ocellus, T3 Plan. Port) costs 12 / T3 Points for the 3rd t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T3 ports.,no
CL-0022,source_extracted_rule,Extracted,High,"T3 (Orbis, Ocellus, T3 Plan. Port) 4th T2/T3 Port construction point cost","T3 (Orbis, Ocellus, T3 Plan. Port) costs 18 / T3 Points for the 4th t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T3 ports.,no
CL-0023,source_extracted_rule,Extracted,High,"T3 (Orbis, Ocellus, T3 Plan. Port) 5th T2/T3 Port construction point cost","T3 (Orbis, Ocellus, T3 Plan. Port) costs 24 T3 / Points for the 5th t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T3 ports.,no
CL-0024,source_extracted_rule,Extracted,High,"T3 (Orbis, Ocellus, T3 Plan. Port) Nth T2/T3 Port construction point cost","T3 (Orbis, Ocellus, T3 Plan. Port) costs (n-1)*6 / T3 Points for the nth t2/t3 port counted T2/T3 port.",MG-0001,M-0004; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,27,Before You Start: CP-Cost Increases For Tier 2 And Tier 3 Ports,construction_point_cost,reference_source_table,Account for escalating CP cost when sequencing additional T3 ports.,no
CL-0025,source_extracted_rule,Extracted,High,Tier 1 colony-type port set,"Tier 1 colony-type ports are: [Orbital] Civilian Outpost, [Orbital] Commercial Outpost, [Planetary] Civilian Outpost.",MG-0001,M-0005; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,port_taxonomy,reference_source_table,Treat colony-type ports as inheriting local-body economies rather than fixed baselines.,no
CL-0026,source_extracted_rule,Extracted,High,Tier 1 specialised port set,"Tier 1 specialised ports are: [Orbital] Industrial Outpost [Industrial], [Orbital] Criminal Outpost [Contraband], [Orbital] Scientific Outpost [Hitech], / [Orbital] Military Outpost [Military], [Planetary] Scientific Outpost [Hitech], [Planetary] Industrial Outpost [Industrial],.",MG-0001,M-0005; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,port_taxonomy,reference_source_table,Treat specialised ports as fixed-economy anchors when comparing body-driven designs.,no
CL-0027,source_extracted_rule,Extracted,High,Tier 2 colony-type port set,Tier 2 colony-type ports are: Coriolis.,MG-0001,M-0005; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,port_taxonomy,reference_source_table,Treat colony-type ports as inheriting local-body economies rather than fixed baselines.,no
CL-0028,source_extracted_rule,Extracted,High,Tier 2 specialised port set,Tier 2 specialised ports are: Asteroid Base [Extraction].,MG-0001,M-0005; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,port_taxonomy,reference_source_table,Treat specialised ports as fixed-economy anchors when comparing body-driven designs.,no
CL-0029,source_extracted_rule,Extracted,High,Tier 3 colony-type port set,"Tier 3 colony-type ports are: Orbis, Ocellus, T3 Planetary Port.",MG-0001,M-0005; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,port_taxonomy,reference_source_table,Treat colony-type ports as inheriting local-body economies rather than fixed baselines.,no
CL-0030,source_extracted_rule,Extracted,High,Tier 3 specialised port set,Tier 3 specialised ports are: None.,MG-0001,M-0005; M-0009,,,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,port_taxonomy,reference_source_table,Treat specialised ports as fixed-economy anchors when comparing body-driven designs.,no
CL-0031,source_extracted_rule,Extracted,Medium,"Base inheritable economies for Black holes, Neutron Stars, White Dwarves","Black holes, Neutron Stars, White Dwarves has base inheritable economies: HighTech, Tourism.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,"Use Black holes, Neutron Stars, White Dwarves as a first-pass body filter for colony-type port planning.",yes
CL-0032,source_extracted_rule,Extracted,Medium,Base inheritable economies for Brown Dwarves and all other star types,Brown Dwarves and all other star types has base inheritable economies: Military.,MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Brown Dwarves and all other star types as a first-pass body filter for colony-type port planning.,yes
CL-0033,source_extracted_rule,Extracted,Medium,Base inheritable economies for Earth like worlds,"Earth like worlds has base inheritable economies: Agriculture, HighTech, Military, Tourism.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Earth like worlds as a first-pass body filter for colony-type port planning.,yes
CL-0034,source_extracted_rule,Extracted,Medium,Base inheritable economies for Water world,"Water world has base inheritable economies: Agriculture, Tourism.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Water world as a first-pass body filter for colony-type port planning.,yes
CL-0035,source_extracted_rule,Extracted,Medium,Base inheritable economies for Ammonia world,"Ammonia world has base inheritable economies: HighTech, Tourism.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Ammonia world as a first-pass body filter for colony-type port planning.,yes
CL-0036,source_extracted_rule,Extracted,Medium,Base inheritable economies for Gas giant,"Gas giant has base inheritable economies: HighTech, Industrial.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Gas giant as a first-pass body filter for colony-type port planning.,yes
CL-0037,source_extracted_rule,Extracted,Medium,Base inheritable economies for High metal content and metal rich world,High metal content and metal rich world has base inheritable economies: Extraction.,MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use High metal content and metal rich world as a first-pass body filter for colony-type port planning.,yes
CL-0038,source_extracted_rule,Extracted,Medium,Base inheritable economies for Rocky ice,"Rocky ice has base inheritable economies: Industrial, Refinery.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Rocky ice as a first-pass body filter for colony-type port planning.,yes
CL-0039,source_extracted_rule,Extracted,Medium,Base inheritable economies for Rocky,Rocky has base inheritable economies: Refinery.,MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Rocky as a first-pass body filter for colony-type port planning.,yes
CL-0040,source_extracted_rule,Extracted,Medium,Base inheritable economies for Icy,Icy has base inheritable economies: Industrial.,MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_inheritance,reference_source_table,Use Icy as a first-pass body filter for colony-type port planning.,yes
CL-0041,source_extracted_rule,Extracted,Medium,Local body modifier Has rings (includes stars with asteroid belts),Modifier Has rings (includes stars with asteroid belts) applies inheritable economy changes: Extraction.,MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_modifier,reference_source_table,Model Has rings (includes stars with asteroid belts) explicitly when projecting colony-type port economies.,yes
CL-0042,source_extracted_rule,Extracted,Medium,Local body modifier Has organics,"Modifier Has organics applies inheritable economy changes: Agriculture, + Terraforming.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_modifier,reference_source_table,Model Has organics explicitly when projecting colony-type port economies.,yes
CL-0043,source_extracted_rule,Extracted,Medium,Local body modifier Has geologicals,"Modifier Has geologicals applies inheritable economy changes: Extraction, + Industrial.",MG-0001,M-0008,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_modifier,reference_source_table,Model Has geologicals explicitly when projecting colony-type port economies.,yes
CL-0044,source_extracted_recommendation,Extracted,Medium,Preferred local body for Extraction,"For Extraction, the guide recommends: HMC or Metal-Rich Planets, without organics, and without geologicals.",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Extraction builds, but keep it caveated until live-confirmed.",yes
CL-0045,source_extracted_recommendation,Extracted,Medium,Preferred local body for Refinery,"For Refinery, the guide recommends: Rocky-type planets, without rings, without organics, and without geologicals / [Note: Specialized refineries also benefit from as many ground slots as possible (as only Refinery-strong-link-granting facility is the planetary-bound Refinery Hub)].",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Refinery builds, but keep it caveated until live-confirmed.",yes
CL-0046,source_extracted_recommendation,Extracted,Medium,Preferred local body for Industrial,"For Industrial, the guide recommends: Icy Planets, without rings, without organics, and without geologicals.",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Industrial builds, but keep it caveated until live-confirmed.",yes
CL-0047,source_extracted_recommendation,Extracted,Medium,Preferred local body for Military,"For Military, the guide recommends: Main Sequence Stars (and Brown Dwarfs) without asteroid belts.",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Military builds, but keep it caveated until live-confirmed.",yes
CL-0048,source_extracted_recommendation,Extracted,Medium,Preferred local body for Agriculture,"For Agriculture, the guide recommends: Water world, without rings / OR / Any non-icy, non-tidally-locked body with biologicals, NO geologicals (and no rings, unless it’s an HMC body - then rings are irrelevant).",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Agriculture builds, but keep it caveated until live-confirmed.",yes
CL-0049,source_extracted_recommendation,Extracted,Medium,Preferred local body for Tourism,"For Tourism, the guide recommends: Ammonia world or Water World, without rings, without organics, and without geologicals - OR non-main-sequence-star without asteroid belts.",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Tourism builds, but keep it caveated until live-confirmed.",yes
CL-0050,source_extracted_recommendation,Extracted,Medium,Preferred local body for HighTech,"For HighTech, the guide recommends: Ammonia world without rings - OR black holes/neutron stars/white dwarfs without asteroid belts.",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for HighTech builds, but keep it caveated until live-confirmed.",yes
CL-0051,source_extracted_recommendation,Extracted,Medium,Preferred local body for Terraforming,"For Terraforming, the guide recommends: Any landable planet with organics.",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Terraforming builds, but keep it caveated until live-confirmed.",yes
CL-0052,source_extracted_recommendation,Extracted,Medium,Preferred local body for Contraband,"For Contraband, the guide recommends: N/A - No local body provides for Contraband; pick any local body with a single local market type and a good number of space local-market slots; (You’ll need to use strong/weak links to build a Contraband market, and/or use the specialized (Orbital) Criminal Outpost).",MG-0001,M-0007; M-0008; M-0010,,U-0007; U-0008,MG-0001 Elite Dangerous Colonization Mega Guide,47,How Do Colony-Type Ports Gain Economies? Base Inheritable Economy + Modifiers,economy_body_preference,reference_source_table,"Use this body preference as a body-selection heuristic for Contraband builds, but keep it caveated until live-confirmed.",yes
CL-0053,source_extracted_rule,Extracted,Medium,Agriculture strong-link boosts,Agriculture strong links are boosted by: Orbiting an Earth like world / Orbiting a Water World / [NOTE: PRESENTLY BUGGED - NOT WORKING] On or orbiting a terraformable body / On or orbiting a body with organics.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Prefer bodies and systems with these properties when you need stronger Agriculture routing.,yes
CL-0054,source_extracted_rule,Extracted,Medium,Agriculture strong-link penalties,Agriculture strong links are decreased by: On or orbiting an icy body / On or orbiting a planet that is tidally locked to its star / On or orbiting a moon that is tidally locked to its planet and its subsequent parent planet(s) are tidally locked to the star.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Avoid these properties when you need reliable Agriculture strong-link shaping.,yes
CL-0055,source_extracted_rule,Extracted,Medium,Extraction strong-link boosts,Extraction strong links are boosted by: In a system with major or pristine resources / On or orbiting a body with volcanism.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Prefer bodies and systems with these properties when you need stronger Extraction routing.,yes
CL-0056,source_extracted_rule,Extracted,Medium,Extraction strong-link penalties,Extraction strong links are decreased by: In a system with low or depleted resources.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Avoid these properties when you need reliable Extraction strong-link shaping.,yes
CL-0057,source_extracted_rule,Extracted,Medium,High Tech strong-link boosts,High Tech strong links are boosted by: Orbiting an ammonia world / Orbiting an earth like world / Orbiting a Water World / On or orbiting a body with geologicals / On or orbiting a body with organics.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Prefer bodies and systems with these properties when you need stronger High Tech routing.,yes
CL-0058,source_extracted_rule,Extracted,Medium,Industrial & Refinery strong-link boosts,Industrial & Refinery strong links are boosted by: In a system with major or pristine resources.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Prefer bodies and systems with these properties when you need stronger Industrial & Refinery routing.,yes
CL-0059,source_extracted_rule,Extracted,Medium,Industrial & Refinery strong-link penalties,Industrial & Refinery strong links are decreased by: In a system with low or depleted resources.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Avoid these properties when you need reliable Industrial & Refinery strong-link shaping.,yes
CL-0060,source_extracted_rule,Extracted,Medium,Tourism strong-link boosts,Tourism strong links are boosted by: Orbiting an ammonia world / In a system with a black hole / Orbiting an earth like world / On or orbiting a body with geologicals / On or orbiting a body with organics / Orbiting a water world / In a system with a white dwarf / In a system with a neutron star.,MG-0001,M-0006,,U-0007,MG-0001 Elite Dangerous Colonization Mega Guide,54,Strong Links,strong_link_modifier,reference_source_table,Prefer bodies and systems with these properties when you need stronger Tourism routing.,yes
CL-0061,source_extracted_rule,Extracted,Medium,High-security systems widen the none portion of faction security sliders,"The guide's compared systems show that higher security produces a wider 'none' section on faction security sliders, indicating slider shape varies with overall system security.",MG-0001,M-0011,,,MG-0001 Elite Dangerous Colonization Mega Guide,61,Security,security_rule,reference_source_table,Do not treat security slider widths as fixed across differently developed systems.,yes
CL-0062,source_extracted_rule,Extracted,Medium,Population curve for Tier 3 - Orbital at Earth-Like World,"For Tier 3 - Orbital at Earth-Like World, rapid-build population is 610m, inflection population is 1,525m, asymptotic population is 3,100m, and the listed body multiplier is TBD.",MG-0001,M-0012,,,MG-0001 Elite Dangerous Colonization Mega Guide,75,"What Does Population Affect, And How Do I Grow It?",population_curve,reference_source_table,Use body-specific population curves when comparing expected long-run output from otherwise similar facilities.,yes
CL-0063,source_extracted_rule,Extracted,Medium,Population curve for Tier 2 - Orbital at Earth-Like World,"For Tier 2 - Orbital at Earth-Like World, rapid-build population is 20m, inflection population is 50m, asymptotic population is 100m, and the listed body multiplier is TBD.",MG-0001,M-0012,,,MG-0001 Elite Dangerous Colonization Mega Guide,75,"What Does Population Affect, And How Do I Grow It?",population_curve,reference_source_table,Use body-specific population curves when comparing expected long-run output from otherwise similar facilities.,yes
CL-0064,source_extracted_rule,Extracted,Medium,Population curve for Tier 1 - Orbital at Earth-Like World,"For Tier 1 - Orbital at Earth-Like World, rapid-build population is TBD, inflection population is TBD, asymptotic population is TBD, and the listed body multiplier is TBD.",MG-0001,M-0012,,,MG-0001 Elite Dangerous Colonization Mega Guide,75,"What Does Population Affect, And How Do I Grow It?",population_curve,reference_source_table,Use body-specific population curves when comparing expected long-run output from otherwise similar facilities.,yes
